dataset_id,label,source_type,metric,is_primary,test_type,p_value,significant_raw,absolute_difference,relative_lift_pct,interpretation,significant_corrected
test1_menu,Menu Navigation,internal_decision_data,added_to_cart,True,Two-Proportion Z-Test,8.381203684528199e-49,True,-0.09942857142857142,-10.34,Variant B has significantly lower rate (p=0.0000). Relative lift: -10.34%,True
test1_menu,Menu Navigation,internal_decision_data,bounced,False,Two-Proportion Z-Test,0.33544222989520955,False,0.011428571428571455,2.63,No significant difference (p=0.3354). Cannot conclude variant B differs from A.,False
test1_menu,Menu Navigation,internal_decision_data,revenue,False,Mann-Whitney U Test,2.3774545029315777e-08,True,-0.36742081971290474,,Variant B has significantly lower median (p=0.0000). Effect size r=-0.077,True
test1_menu,Menu Navigation,internal_decision_data,pages_viewed,False,Mann-Whitney U Test,0.06748254318088377,False,-0.044001366759339966,,No significant difference in distributions (p=0.0675).,False
test2_novelty_slider,Novelty Slider,internal_decision_data,products_added_from_novelties,True,Two-Proportion Z-Test,7.729863223884089e-06,True,0.00425,283.33,Variant B has significantly higher rate (p=0.0000). Relative lift: 283.33%,True
test2_novelty_slider,Novelty Slider,internal_decision_data,is_registered,False,Two-Proportion Z-Test,0.8988413547910823,False,-0.0010000000000000009,-0.22,No significant difference (p=0.8988). Cannot conclude variant B differs from A.,False
test2_novelty_slider,Novelty Slider,internal_decision_data,novelty_revenue,False,Mann-Whitney U Test,3.41884878278823e-08,True,0.24563814419945285,,Variant B has significantly higher median (p=0.0000). Effect size r=0.050,True
test3_product_sliders,Product Sliders,internal_decision_data,revenue_from_recommendations,True,Kruskal-Wallis H-Test,5.111288789045014e-53,True,,,Significant difference detected (p=0.0000). 3 pairwise comparison(s) significant.,True
test3_product_sliders,Product Sliders,internal_decision_data,add_to_cart_rate,False,Chi-Square Test,0.9888468430271623,False,,,No association between variant and outcome (p=0.9888).,False
test3_product_sliders,Product Sliders,internal_decision_data,slider_interactions,False,Kruskal-Wallis H-Test,0.16215118753992264,False,,,No significant difference among variants (p=0.1622).,False
test3_product_sliders,Product Sliders,internal_decision_data,products_per_order,False,Kruskal-Wallis H-Test,5.357853872650724e-10,True,,,Significant difference detected (p=0.0000). 3 pairwise comparison(s) significant.,True
test3_product_sliders,Product Sliders,internal_decision_data,avg_product_price,False,Kruskal-Wallis H-Test,1.4311888323774657e-65,True,,,Significant difference detected (p=0.0000). 3 pairwise comparison(s) significant.,True
test4_reviews,Reviews,internal_decision_data,converted,True,Two-Proportion Z-Test,0.7763893969605563,False,0.000857142857142848,0.8,No significant difference (p=0.7764). Cannot conclude variant B differs from A.,False
test4_reviews,Reviews,internal_decision_data,added_to_cart,False,Two-Proportion Z-Test,0.2331927808181189,False,0.004380952380952374,0.53,No significant difference (p=0.2332). Cannot conclude variant B differs from A.,False
test5_search_engine,Search Engine,internal_decision_data,converted,True,Two-Proportion Z-Test,0.3711533996321075,False,0.003263157894736843,4.93,No significant difference (p=0.3712). Cannot conclude variant B differs from A.,False
test5_search_engine,Search Engine,internal_decision_data,added_to_cart,False,Two-Proportion Z-Test,0.0013757884377649016,True,0.013578947368421024,1.51,Variant B has significantly higher rate (p=0.0014). Relative lift: 1.51%,True
test5_search_engine,Search Engine,internal_decision_data,interacted_with_search,False,Two-Proportion Z-Test,0.4551267504003351,False,-0.005157894736842139,-1.48,No significant difference (p=0.4551). Cannot conclude variant B differs from A.,False
test5_search_engine,Search Engine,internal_decision_data,avg_revenue_per_visitor,False,Mann-Whitney U Test,0.3460661789785704,False,0.010916693773951658,,No significant difference in distributions (p=0.3461).,False
kaggle_ab_data,Kaggle Benchmark (cleaned),external_benchmark_data,converted,True,Two-Proportion Z-Test,0.19534709281210638,False,-0.001563980484402594,-1.3,No significant difference (p=0.1953). Cannot conclude variant B differs from A.,False
